08-26 20:59:06.188 20491 20504 I TestRunner: started: bannerIsOnScreenWithAFullFeed(com.bonjur.notification.presentation.feed.NeedsActionBannerVisibleTest)
08-26 20:59:06.191 20491 20504 D IdlingRegistry: Registering idling resources: [androidx.compose.ui.test.EspressoLink@120e15b]
08-26 20:59:06.192 20491 20504 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
08-26 20:59:06.194   654   965 V GrammaticalInflectionUtils: AttributionSource: android.content.AttributionSource@7b3372c does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
08-26 20:59:06.363   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.379   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.379   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.379   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.379   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.379   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.379   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.379   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.379   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.396   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.396   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.396   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.396   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.396   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.396   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.396   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.396   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.404   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.404   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.413   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.413   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.413   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.413   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.413   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.413   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.413   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.413   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.429   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.429   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.429   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.429   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.429   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.429   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.429   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.429   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.437   478   478 I adbd    : adbd service requested 'shell,v2,raw:dumpsys package com.google.android.gms'
08-26 20:59:06.445   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.445   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.445   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.445   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.446   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.446   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.446   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.446   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.462   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.462   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.462   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.462   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.462   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.462   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.462   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.462   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.472  2298  2311 I artd    : GetBestInfo: odex next to the dex file (/data/app/~~Sxpxb5TNX-OZJT-mgYTYYg==/com.google.android.gms-VzAvURg2Q_xsp-xUnqWfXg==/oat/arm64/base.odex) is kOatUpToDate with filter 'verify' executable 'false'
08-26 20:59:06.473  2298  2311 I artd    : GetBestInfo: odex next to the dex file (/data/app/~~Sxpxb5TNX-OZJT-mgYTYYg==/com.google.android.gms-VzAvURg2Q_xsp-xUnqWfXg==/oat/arm64/split_AdsDynamite_installtime.odex) is kOatUpToDate with filter 'verify' executable 'false'
08-26 20:59:06.474  2298  2311 I artd    : GetBestInfo: odex next to the dex file (/data/app/~~Sxpxb5TNX-OZJT-mgYTYYg==/com.google.android.gms-VzAvURg2Q_xsp-xUnqWfXg==/oat/arm64/split_CronetDynamite_installtime.odex) is kOatUpToDate with filter 'verify' executable 'false'
08-26 20:59:06.476  2298  2311 I artd    : GetBestInfo: odex next to the dex file (/data/app/~~Sxpxb5TNX-OZJT-mgYTYYg==/com.google.android.gms-VzAvURg2Q_xsp-xUnqWfXg==/oat/arm64/split_DynamiteLoader_installtime.odex) is kOatUpToDate with filter 'verify' executable 'false'
08-26 20:59:06.480  2298  8628 I artd    : GetBestInfo: odex next to the dex file (/data/app/~~Sxpxb5TNX-OZJT-mgYTYYg==/com.google.android.gms-VzAvURg2Q_xsp-xUnqWfXg==/oat/arm64/split_DynamiteModulesA_installtime.odex) is kOatUpToDate with filter 'verify' executable 'false'
08-26 20:59:06.480   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.480   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.480   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.480   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.480   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.480   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.480   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.480   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.492  2298  8628 I artd    : GetBestInfo: odex next to the dex file (/data/app/~~Sxpxb5TNX-OZJT-mgYTYYg==/com.google.android.gms-VzAvURg2Q_xsp-xUnqWfXg==/oat/arm64/split_DynamiteModulesC_installtime.odex) is kOatUpToDate with filter 'verify' executable 'false'
08-26 20:59:06.497  2298  8628 I artd    : GetBestInfo: odex next to the dex file (/data/app/~~Sxpxb5TNX-OZJT-mgYTYYg==/com.google.android.gms-VzAvURg2Q_xsp-xUnqWfXg==/oat/arm64/split_GoogleCertificates_installtime.odex) is kOatUpToDate with filter 'verify' executable 'false'
08-26 20:59:06.498   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.499   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.499   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.499   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.499   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.499   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.499   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.499   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.507   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.507   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.508  2298  2311 I artd    : GetBestInfo: odex next to the dex file (/data/app/~~Sxpxb5TNX-OZJT-mgYTYYg==/com.google.android.gms-VzAvURg2Q_xsp-xUnqWfXg==/oat/arm64/split_MapsDynamite_installtime.odex) is kOatUpToDate with filter 'verify' executable 'false'
08-26 20:59:06.509  2298  2311 I artd    : GetBestInfo: odex next to the dex file (/data/app/~~Sxpxb5TNX-OZJT-mgYTYYg==/com.google.android.gms-VzAvURg2Q_xsp-xUnqWfXg==/oat/arm64/split_MeasurementDynamite_installtime.odex) is kOatUpToDate with filter 'verify' executable 'false'
08-26 20:59:06.510  2298  8628 I artd    : GetBestInfo: /data/user_de/0/com.google.android.gms/app_chimera/m/00000001/CronetDynamite.apk has no usable artifacts
08-26 20:59:06.511  2298  8628 I artd    : GetBestInfo: /data/user_de/0/com.google.android.gms/app_chimera/m/00000012/dl-IdentityCredentialsPlatform.optional_262334100400.apk has no usable artifacts
08-26 20:59:06.511  2298  2311 I artd    : GetBestInfo: /data/user_de/0/com.google.android.gms/app_chimera/m/00000002/DynamiteLoader.apk has no usable artifacts
08-26 20:59:06.512  2298  8628 I artd    : GetBestInfo: /data/user_de/0/com.google.android.gms/app_chimera/m/00000005/GoogleCertificates.apk has no usable artifacts
08-26 20:59:06.512  2298  2311 I artd    : GetBestInfo: /data/user_de/0/com.google.android.gms/app_chimera/m/00000017/dl-MlkitBarcodeUi.optional_262434100400.apk has no usable artifacts
08-26 20:59:06.512  2298  2311 I artd    : GetBestInfo: /data/user_de/0/com.google.android.gms/app_chimera/m/0000000c/dl-MlkitOcrCommon.optional_262334100400.apk has no usable artifacts
08-26 20:59:06.512   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.512   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.512   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.512   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.512   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.512   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.512   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.512   474   595 W skia    : AGTM parsing failed flags.readFromStream(s) at 159
08-26 20:59:06.516  2298  2311 I artd    : GetBestInfo: /data/user_de/0/com.google.android.gms/app_chimera/m/00000008/dl-VisionOcr.optional_261136100000.apk has no usable artifacts
08-26 20:59:06.516  2298  2311 I artd    : GetBestInfo: /data/user_de/0/com.google.android.gms/app_chimera/m/00000019/dl-MlkitOcrCommon.optional_262434100400.apk has no usable artifacts
08-26 20:59:06.517  2298  8628 I artd    : GetBestInfo: /data/user_de/0/com.google.android.gms/app_chimera/m/00000032/dl-VisionOcr.optional_263234100000.apk has no usable artifacts
08-26 20:59:06.519  2298  8628 I artd    : GetBestInfo: /data/user_de/0/com.google.android.gms/app_chimera/m/0000002e/dl-MlkitBarcodeUi.optional_263234100400.apk has no usable artifacts
08-26 20:59:06.520  2298  8628 I artd    : GetBestInfo: /data/user_de/0/com.google.android.gms/app_chimera/m/00000015/dl-VisionOcr.optional_262434100000.apk has no usable artifacts
08-26 20:59:06.520  2298  8628 I artd    : GetBestInfo: /data/user_de/0/com.google.android.gms/app_chimera/m/0000000f/dl-TfliteDynamiteDynamite.integ_252130102100400.apk has no usable artifacts
08-26 20:59:06.521  2298  2311 I artd    : GetBestInfo: /data/user_de/0/com.google.android.gms/app_chimera/m/0000002f/dl-MlkitOcrCommon.optional_263234100400.apk has no usable artifacts
08-26 20:59:06.522  2298  2311 I artd    : GetBestInfo: /data/user_de/0/com.google.android.gms/app_chimera/m/0000001a/dl-PlayCloudSearch.optional_262434100000.apk has no usable artifacts
08-26 20:59:06.522  2298  8628 I artd    : GetBestInfo: /data/user_de/0/com.google.android.gms/app_chimera/m/00000011/dl-VisionOcr.optional_262334100000.apk has no usable artifacts
08-26 20:59:06.522  2298  3898 I artd    : GetBestInfo: /data/user_de/0/com.google.android.gms/app_chimera/m/0000000d/dl-MlkitBarcodeUi.optional_262334100400.apk has no usable artifacts
08-26 20:59:06.524  2298  8628 I artd    : GetBestInfo: vdex next to the dex file (/data/user/0/com.google.android.gms/app_dg_cache/F43216EC192C66BFB5A30C3CDD57E8C5C9005730/oat/arm64/the.vdex) is kOatUpToDate with filter 'verify' executable 'false'
08-26 20:59:06.525  2298  8628 I artd    : GetBestInfo: /data/user_de/0/com.google.android.gms/app_chimera/m/00000031/dl-IdentityCredentialsPlatform.optional_263234100400.apk has no usable artifacts
08-26 20:59:06.527  2298  8628 I artd    : GetBestInfo: /data/user_de/0/com.google.android.gms/app_chimera/m/0000001b/dl-Appsearch.optional_262434100400.apk has no usable artifacts
